Date,Price,Open,High,Low,Vol.,Change %,,,,,
"Oct 09, 2019","2,919.00","2,893.50","2,934.25","2,888.25",1.31M,0.92%,,,,,
"Oct 08, 2019","2,892.50","2,934.50","2,950.00","2,890.50",1.87M,-1.53%,,,,,
"Oct 07, 2019","2,937.50","2,929.75","2,959.50","2,928.00",1.27M,-0.46%,,,,,
"Oct 04, 2019","2,951.00","2,911.50","2,953.25","2,896.75",1.50M,1.35%,,,,,
"Oct 03, 2019","2,911.75","2,883.75","2,912.50","2,855.00",2.04M,1.08%,,,,,
"Oct 02, 2019","2,880.50","2,942.25","2,949.00","2,874.00",2.13M,-1.95%,,,,,
"Oct 01, 2019","2,937.75","2,984.00","2,994.50","2,937.00",1.60M,-1.37%,,,,,
"Sep 30, 2019","2,978.50","2,976.00","2,986.25","2,964.50",1.16M,0.50%,,,,,
"Sep 27, 2019","2,963.75","2,979.75","2,993.00","2,946.25",1.67M,-0.56%,,,,,
"Sep 26, 2019","2,980.50","2,985.75","2,995.00","2,964.25",1.35M,-0.19%,,,,,
"Sep 25, 2019","2,986.25","2,971.00","2,991.75","2,953.75",1.50M,0.54%,,,,,
"Sep 24, 2019","2,970.25","3,001.00","3,012.25","2,958.50",1.94M,-0.89%,,,,,
"Sep 23, 2019","2,997.00","2,995.75","3,008.25","2,982.00",1.04M,-0.55%,,,,,
"Sep 20, 2019","3,013.61","3,005.50","3,015.50","3,001.75",37.79K,0.25%,,,,,
"Sep 19, 2019","3,006.00","3,008.00","3,022.25","2,988.75",372.85K,-0.01%,,,,,
"Sep 18, 2019","3,006.25","3,006.00","3,011.00","2,978.50",637.34K,0.02%,,,,,
"Sep 17, 2019","3,005.50","3,001.75","3,006.50","2,991.50",1.10M,0.22%,,,,,
"Sep 16, 2019","2,999.00","2,993.50","3,003.25","2,981.25",1.20M,-0.25%,,,,,
"Sep 13, 2019","3,006.50","3,010.00","3,023.75","3,003.50",1.28M,-0.17%,,,,,
"Sep 12, 2019","3,011.75","3,003.00","3,021.75","3,001.00",1.75M,0.32%,,,,,
"Sep 11, 2019","3,002.00","2,979.00","3,004.25","2,972.00",1.42M,0.79%,,,,,
"Sep 10, 2019","2,978.50","2,979.25","2,985.00","2,957.25",1.49M,0.01%,,,,,
"Sep 09, 2019","2,978.25","2,980.25","2,991.50","2,969.50",1.20M,-0.08%,,,,,
